"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"416","416","Payton Pritchard","PG",26,82,5,22.3,3.6,7.7,0.468,1.8,4.7,0.385,1.8,3.1,0.593,0.583,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,"15.3",".597",".602",".088","4.3","11.1","7.8","20.7","1.1","0.3","8.5","17.2","4.2","1.9","6.1",".160","1.3","-0.2","1.0","1.4"
"417","417","Olivier-Maxence Prosper","PF",21,40,1,8.4,1,2.6,0.385,0.3,1.1,0.289,0.7,1.5,0.458,0.447,0.7,1,0.683,0.6,1.4,2,0.6,0.2,0.1,0.2,0.5,3,"11.6",".496",".433",".394","8.2","17.5","12.8","8.4","1.0","1.0","6.2","16.6","0.2","0.3","0.5",".076","-1.7","-1.3","-2.9","-0.1"
"418","418","Trevelin Queen","SG",26,14,0,11.8,1,2.7,0.368,0.2,1.2,0.176,0.8,1.5,0.524,0.408,0.6,0.9,0.75,0.2,1.2,1.4,1.3,0.5,0.4,0.5,1.1,2.9,"8.3",".462",".447",".316","2.1","12.2","7.1","14.5","2.1","2.8","13.9","13.3","-0.1","0.3","0.2",".056","-4.7","1.4","-3.4","-0.1"
"419","419","Neemias Queta","C",24,28,0,11.9,2.4,3.7,0.644,0,0,NA,2.4,3.7,0.644,0.644,0.7,1,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,"22.9",".662",".000",".269","17.9","21.5","19.8","8.5","1.9","5.5","10.1","16.9","1.1","0.7","1.8",".259","0.4","1.1","1.5","0.3"
"420","420","Immanuel Quickley","PG",24,68,38,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.2,6.8,0.471,0.53,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.8,17,"16.7",".577",".484",".274","0.9","13.7","7.2","24.6","1.2","0.5","9.2","23.8","3.5","1.2","4.7",".115","2.2","-0.9","1.3","1.7"
"421","421","Lester Quinones","SG",23,37,0,10.6,1.5,3.8,0.397,0.9,2.4,0.364,0.6,1.4,0.453,0.511,0.5,0.8,0.69,0.6,1.4,1.9,1,0.2,0.1,0.5,1.2,4.4,"10.3",".533",".624",".206","5.8","13.8","9.9","12.0","0.7","0.5","10.0","18.3","0.3","0.3","0.6",".068","-2.0","-1.3","-3.3","-0.1"
"422","422","Jahmi'us Ramsey","SG",22,7,1,17.3,2.6,5.9,0.439,0.9,3.1,0.273,1.7,2.7,0.632,0.512,0.7,0.9,0.833,0.6,2.6,3.1,1.1,1,0,1,1.4,6.7,"10.6",".538",".537",".146","3.6","16.7","10.0","9.1","2.8","0.0","13.8","17.9","-0.1","0.1","0.1",".021","-3.9","-0.5","-4.4","-0.1"
"423","423","Julius Randle","PF",29,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,"18.9",".569",".292",".361","6.8","22.4","14.6","22.8","0.8","0.7","14.1","29.9","1.9","1.9","3.8",".113","2.2","-0.3","1.9","1.6"
"424","424","Duop Reath","C",27,68,20,17.9,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4,9.1,"15.1",".571",".491",".186","8.1","15.4","11.5","8.9","1.3","2.8","8.8","20.7","1.4","1.0","2.4",".095","-0.2","-0.7","-0.9","0.3"
"425","425","Austin Reaves","SG",25,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,"15.5",".613",".447",".289","2.5","11.9","7.4","23.5","1.2","0.8","14.1","20.3","3.9","2.0","5.9",".108","0.9","-0.4","0.4","1.6"
"426","426","Cam Reddish","SF",24,48,26,20.5,1.9,4.9,0.389,0.8,2.3,0.336,1.1,2.6,0.435,0.468,0.9,1.1,0.759,0.6,1.5,2.1,1,1,0.3,0.6,1.3,5.4,"7.7",".504",".470",".231","3.2","7.7","5.6","6.0","2.3","1.2","10.7","12.7","-0.3","0.9","0.6",".030","-4.0","0.8","-3.2","-0.3"
"427","427","Paul Reed","C",24,82,24,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1,0.718,2.4,3.6,6,1.3,0.8,1,0.8,2.4,7.3,"17.4",".580",".119",".177","13.2","20.9","16.9","9.8","2.1","4.8","11.5","15.9","2.5","2.6","5.1",".154","-0.6","1.0","0.4","0.9"
"428","428","Naz Reid","C",24,81,14,24.2,5,10.5,0.477,2.1,5,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,"16.0",".595",".479",".174","4.4","19.3","12.2","8.3","1.6","3.3","10.8","23.1","1.1","3.8","4.9",".120","0.4","1.1","1.5","1.7"
"429","429","Jared Rhoden","SG",24,17,0,14.4,1.9,3.9,0.5,0.7,1.8,0.387,1.2,2.1,0.6,0.591,0.3,0.5,0.625,0.2,1.8,1.9,0.8,0.2,0.8,0.4,1.6,4.9,"10.3",".597",".470",".121","1.3","13.9","7.5","8.0","0.6","4.5","9.1","13.3","0.1","0.2","0.3",".060","-2.9","0.4","-2.5","0.0"
"430","430","Nick Richards","C",26,67,51,26.3,3.9,5.6,0.691,0,0,0,3.9,5.6,0.693,0.691,2,2.7,0.737,2.6,5.5,8,0.8,0.4,1.1,1.1,2.6,9.7,"16.7",".717",".003",".476","10.7","24.2","17.2","4.5","0.7","3.9","13.8","13.3","3.8","1.3","5.1",".140","-1.6","-0.7","-2.3","-0.1"
"431","431","Josh Richardson","SG",30,43,6,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,"11.4",".573",".548",".156","1.8","10.7","6.2","13.9","1.1","1.2","8.9","16.5","0.9","1.2","2.1",".093","-1.3","0.0","-1.3","0.2"
"432","432","Duncan Robinson","SF",29,68,36,28,4.5,9.9,0.45,2.8,7,0.395,1.7,3,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,"12.2",".612",".701",".133","0.9","9.5","5.1","15.1","1.2","0.8","11.7","19.0","1.6","2.0","3.6",".091","-0.5","-0.4","-0.9","0.6"
"433","433","Jerome Robinson","SG",26,22,0,3.7,0.5,1.5,0.333,0.1,0.8,0.118,0.4,0.7,0.563,0.364,0.3,0.5,0.636,0,0.2,0.3,0.2,0,0.1,0.1,0.2,1.4,"5.7",".410",".515",".333","1.4","6.6","4.0","8.0","0.6","3.3","5.0","20.7","-0.1","0.1","-0.1","-0.040","-6.1","-2.2","-8.3","-0.1"
"434","434","Mitchell Robinson","C",25,31,21,24.8,2.4,4.1,0.575,0,0,NA,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,"16.1",".554",".000",".520","20.7","17.7","19.2","3.1","2.4","4.3","13.8","10.2","1.2","1.3","2.5",".155","-0.3","0.4","0.0","0.4"
"435","435","Orlando Robinson","C",23,36,7,8.4,1,2,0.5,0.2,0.4,0.533,0.8,1.6,0.491,0.556,0.5,0.7,0.76,0.8,1.6,2.3,0.9,0.2,0.2,0.5,1,2.8,"14.0",".596",".208",".347","10.4","21.0","15.7","15.8","1.1","2.6","17.8","14.8","0.4","0.5","0.9",".135","-1.9","0.8","-1.1","0.1"
"436","436","Jeremiah Robinson-Earl","PF",23,39,1,8.6,1.2,2.4,0.474,0.3,1,0.333,0.8,1.4,0.571,0.542,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6,2.9,"11.8",".564",".411",".168","7.8","17.5","12.7","8.4","1.5","1.2","13.6","15.4","0.2","0.4","0.6",".086","-1.9","-0.3","-2.2","0.0"
"437","437","David Roddy","PF",22,65,13,18.1,2.5,6.3,0.403,0.7,2.5,0.293,1.8,3.8,0.478,0.462,0.7,1,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1,6.5,"8.7",".484",".401",".166","4.8","15.2","9.8","10.3","1.1","0.9","11.5","18.1","-0.9","1.0","0.1",".004","-4.0","-1.0","-5.0","-0.9"
"438","438","Ryan Rollins","PG",21,13,0,6,1.1,2.1,0.519,0.2,0.3,0.75,0.8,1.8,0.478,0.574,1,1.3,0.765,0.2,0.8,1,1.1,0.8,0.2,0.6,0.6,3.4,"22.0",".638",".148",".630","2.7","15.4","8.9","25.0","6.0","3.1","18.8","23.0","0.1","0.1","0.3",".155","0.6","5.1","5.7","0.2"
"439","439","Derrick Rose","PG",35,24,7,16.6,3.2,6.9,0.461,0.6,1.7,0.366,2.5,5.2,0.492,0.506,1,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8,"13.1",".540",".248",".164","1.8","10.9","6.2","32.3","1.0","0.5","14.9","22.3","0.1","0.3","0.4",".046","-1.3","-1.5","-2.8","-0.1"
"440","440","Terry Rozier","PG",29,61,60,33.4,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,0.518,2.8,3.2,0.869,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8,"17.3",".555",".411",".198","1.9","12.0","6.8","27.5","1.5","1.0","8.9","25.9","2.3","1.6","3.9",".091","2.2","-0.7","1.5","1.8"
"441","441","Rayan Rupert","SG",19,39,12,16.2,1.4,4.1,0.335,0.7,2,0.359,0.7,2.1,0.313,0.422,0.5,0.6,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,1.4,4,"5.8",".451",".484",".155","4.0","12.8","8.1","13.5","0.9","0.4","15.3","13.6","-0.4","0.3","-0.1","-0.009","-5.6","-1.2","-6.7","-0.8"
"442","442","D'Angelo Russell","PG",27,76,69,32.7,6.5,14.2,0.456,3,7.2,0.415,3.5,7,0.497,0.56,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18,"16.0",".588",".505",".178","1.3","8.9","5.3","27.6","1.3","1.3","11.8","23.0","3.3","1.8","5.1",".099","1.7","-0.8","0.9","1.8"
"443","443","Matt Ryan","SF",26,28,1,13.9,1.8,4,0.434,1.5,3.3,0.451,0.3,0.8,0.364,0.615,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0,0.7,1.1,5.4,"9.0",".638",".805",".124","1.7","9.6","5.7","6.1","0.8","0.3","13.8","15.4","0.2","0.3","0.5",".065","-1.4","-1.3","-2.7","-0.1"
"444","444","Domantas Sabonis","C",27,82,82,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4,"23.2",".637",".081",".389","11.0","32.3","21.4","33.9","1.2","1.5","17.9","22.2","8.6","4.0","12.6",".206","4.0","2.4","6.5","6.2"
"445","445","Luka Šamanić","PF",24,43,7,9.4,1.4,3.7,0.38,0.3,1.5,0.203,1.1,2.2,0.5,0.421,1,1.3,0.786,0.5,1.9,2.4,0.4,0.1,0.2,0.7,0.7,4.1,"8.9",".485",".405",".354","6.0","21.6","13.9","6.5","0.6","1.5","13.3","21.8","-0.4","0.2","-0.2","-0.029","-4.9","-2.9","-7.8","-0.6"
"446","446","Jermaine Samuels","SF",25,14,0,4.3,0.6,1,0.643,0,0.1,0,0.6,0.9,0.75,0.643,0.1,0.1,1,0.2,0.7,0.9,0.2,0.1,0.1,0,0.4,1.4,"15.1",".672",".143",".143","5.3","18.1","11.6","7.0","0.8","3.1","0.0","10.5","0.1","0.1","0.2",".178","-0.3","1.1","0.8","0.0"
"447","447","Adama Sanogo","PF",21,9,0,7.3,1.6,3,0.519,0,0,NA,1.6,3,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4,0,0.1,0,0.6,0.6,4,"21.9",".558",".000",".444","31.6","29.4","30.5","0.0","0.8","0.0","13.4","24.8","0.1","0.1","0.2",".133","-0.4","-6.3","-6.7","-0.1"
"448","448","Gui Santos","PF",21,23,0,8.3,1.2,2.4,0.509,0.4,1.2,0.37,0.8,1.2,0.643,0.6,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1,3.6,"15.6",".656",".491",".309","9.7","17.7","13.8","9.6","1.0","0.9","10.1","15.2","0.5","0.2","0.7",".169","0.0","-0.5","-0.5","0.1"
"449","449","Dario Šarić","C",29,64,9,17.2,2.8,6.1,0.466,1.2,3.1,0.376,1.7,3,0.56,0.562,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8,"15.3",".600",".508",".240","7.3","20.4","13.9","17.8","1.4","0.8","15.4","19.5","1.6","1.2","2.8",".123","0.6","0.4","1.0","0.9"
"450","450","Olivier Sarr","C",24,15,0,6.5,0.7,1.3,0.579,0.1,0.4,0.333,0.6,0.9,0.692,0.632,0.7,1,0.667,0.7,1.7,2.4,0.1,0,0.5,0.2,1.2,2.3,"14.8",".664",".316",".789","11.8","28.5","20.5","2.5","0.0","6.6","10.5","12.7","0.2","0.2","0.4",".186","-2.6","-0.1","-2.6","0.0"
"451","451","Marcus Sasser","PG",23,71,11,19,3.1,7.2,0.428,1.3,3.4,0.375,1.8,3.8,0.474,0.516,0.8,0.9,0.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3,"11.8",".542",".469",".129","0.9","9.6","5.2","25.4","1.6","0.8","14.3","19.9","0.3","0.6","0.9",".033","-1.5","-1.1","-2.6","-0.2"
"452","452","Admiral Schofield","PF",26,23,0,3.7,0.4,1.1,0.385,0.3,0.7,0.375,0.2,0.4,0.4,0.5,0,0.1,0,0.1,0.6,0.7,0.3,0,0,0.2,0.4,1.1,"6.0",".484",".615",".077","4.2","19.7","11.9","11.6","0.6","0.0","15.7","16.6","-0.1","0.1","0.0",".006","-4.1","-0.8","-4.9","-0.1"
"453","453","Dennis Schröder","PG",30,80,58,31.1,5,11.6,0.435,1.7,4.6,0.375,3.3,7,0.474,0.509,2.2,2.7,0.836,0.5,2.5,3,6.1,0.8,0.2,1.9,2.1,14,"13.3",".550",".397",".230","1.7","9.2","5.3","28.0","1.2","0.6","13.0","20.3","2.3","1.0","3.3",".063","-0.5","-1.3","-1.8","0.1"
"454","454","Dereon Seabron","SG",23,6,0,9.2,0.7,2.2,0.308,0.2,0.3,0.5,0.5,1.8,0.273,0.346,0.8,1,0.833,0.2,1,1.2,0.8,0.3,0.2,0,0.7,2.3,"9.2",".448",".154",".462","2.0","12.0","7.1","11.2","1.8","1.8","0.0","12.4","0.0","0.1","0.1",".087","-2.7","1.2","-1.5","0.0"
"455","455","Alperen Sengun","C",21,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1,"22.0",".585",".113",".358","9.5","21.5","15.4","25.2","1.8","2.1","12.5","27.0","3.8","3.1","6.9",".163","3.1","1.7","4.9","3.5"
"456","456","Brice Sensabaugh","SF",20,32,11,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5,"8.6",".511",".528",".188","3.0","16.1","9.6","13.0","1.1","0.9","16.6","20.3","-0.5","0.2","-0.3","-0.024","-3.3","-2.1","-5.5","-0.5"
"457","457","Collin Sexton","SG",25,78,51,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2,18.7,"19.9",".607",".313",".356","3.8","7.1","5.4","29.5","1.4","0.8","12.1","27.5","5.2","0.3","5.5",".127","3.8","-1.9","1.9","2.0"
"458","458","Landry Shamet","SG",26,46,5,15.8,2.6,6,0.431,1.2,3.4,0.338,1.4,2.5,0.556,0.527,0.8,1,0.826,0.3,1,1.3,1.2,0.5,0.2,0.7,1.7,7.1,"10.5",".556",".573",".168","2.3","6.9","4.6","10.2","1.6","1.1","9.3","18.8","0.1","0.2","0.3",".022","-2.7","-1.3","-4.0","-0.4"
"459","459","Day'Ron Sharpe","C",22,61,1,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8,"20.0",".596",".051",".418","18.6","27.9","23.1","14.0","1.3","4.3","16.7","19.7","1.6","1.3","2.9",".152","-0.4","0.4","0.0","0.5"
"460","460","Shaedon Sharpe","SG",20,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,"11.4",".524",".415",".274","4.2","13.3","8.5","13.8","1.3","1.0","12.9","22.4","-0.2","0.6","0.5",".022","-1.9","-0.9","-2.8","-0.2"
"461","461","Ben Sheppard","SG",22,57,1,14.3,1.6,4,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0,0.3,1.5,4.4,"8.1",".524",".681",".114","2.1","10.3","6.2","7.5","1.9","0.2","5.9","13.2","0.3","0.4","0.8",".046","-3.3","-0.1","-3.4","-0.3"
"462","462","Pascal Siakam","PF",29,80,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,7.5,12.8,0.581,0.569,3.6,5,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7,"19.7",".601",".194",".312","5.8","18.1","11.9","19.4","1.1","0.8","8.9","25.3","5.4","1.5","6.9",".124","2.6","-0.7","1.9","2.7"
"463","463","Ben Simmons","PG",27,15,12,23.9,2.9,4.9,0.581,0,0,NA,2.9,4.9,0.581,0.581,0.4,1,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,"16.3",".571",".000",".203","9.2","27.6","18.1","33.2","1.7","2.3","25.1","13.0","0.5","0.5","1.0",".133","-0.5","2.9","2.4","0.4"
"464","464","Kobi Simmons","PG",26,4,0,16.8,2.3,5.3,0.429,0.5,2,0.25,1.8,3.3,0.538,0.476,0,0,NA,0.3,1.5,1.8,3,1.5,0.5,0.3,1.3,5,"14.5",".476",".381",".000","1.6","10.1","5.7","24.2","4.3","2.6","4.5","14.0","0.1","0.1","0.1",".098","-2.6","1.6","-1.0","0.0"
"465","465","Anfernee Simons","SG",24,46,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,"15.9",".568",".484",".213","1.5","10.9","5.9","27.6","0.7","0.3","12.1","28.0","1.7","0.5","2.2",".068","2.7","-2.5","0.2","0.8"
"466","466","Zavier Simpson","PG",26,7,0,23,2.4,7.7,0.315,0.7,2.4,0.294,1.7,5.3,0.324,0.361,0.4,0.6,0.75,0.6,2.3,2.9,3.6,1,0.4,1.4,1.6,6,"6.3",".377",".315",".074","2.6","11.3","6.8","22.5","2.1","1.7","15.2","17.5","-0.3","0.2","-0.2","-0.046","-6.2","0.3","-5.9","-0.2"
"467","467","Jericho Sims","C",25,45,11,13,0.8,1.2,0.691,0,0,NA,0.8,1.2,0.691,0.691,0.4,0.5,0.667,1.2,2,3.3,0.6,0.2,0.4,0.4,1,2,"10.9",".702",".000",".436","10.7","17.5","14.1","5.4","0.7","3.0","19.6","6.0","0.9","0.7","1.5",".127","-2.4","0.7","-1.8","0.0"
"468","468","Dmytro Skapintsev","C",25,2,0,1,0,0.5,0,0,0,NA,0,0.5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"-19.3",".000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.6","0.0","0.0","0.0","-0.483","-16.0","-9.8","-25.9","0.0"
"469","469","Jalen Slawson","SF",24,12,0,3.1,0.3,0.5,0.667,0,0.2,0,0.3,0.3,1,0.667,0,0,NA,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.7,0.7,"6.6",".667",".333",".000","3.0","18.6","10.6","6.9","1.3","2.5","25.0","9.2","0.0","0.0","0.0",".058","-7.5","1.1","-6.4","0.0"
"470","470","Javonte Smart","PG",24,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"0.0","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0",".005","-6.2","-2.1","-8.3","0.0"
"471","471","Marcus Smart","PG",29,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,"11.8",".552",".565",".236","1.0","8.9","4.8","22.7","3.3","0.8","19.2","22.9","-0.5","0.7","0.2",".020","-3.3","0.9","-2.4","0.0"
"472","472","Dennis Smith Jr.","PG",26,56,2,18.9,2.6,6,0.435,0.6,1.9,0.294,2.1,4.1,0.502,0.482,0.8,1,0.741,0.9,2,2.9,3.6,1.2,0.2,1.2,2.2,6.6,"13.4",".508",".322",".172","5.0","12.1","8.5","27.3","3.2","1.0","15.8","17.7","0.5","1.3","1.8",".080","-2.6","1.8","-0.8","0.3"
"473","473","Dru Smith","SG",26,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,"12.8",".576",".515",".061","5.1","7.0","6.1","15.0","3.4","2.2","12.9","13.2","0.1","0.2","0.3",".125","-1.8","3.2","1.4","0.1"
"474","474","Ish Smith","PG",35,43,5,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2,"6.8",".435",".051",".025","1.6","10.2","5.8","26.4","1.1","0.5","22.7","12.3","-0.5","0.2","-0.4","-0.025","-5.6","-1.2","-6.8","-0.9"
"475","475","Jabari Smith Jr.","PF",20,76,76,31.9,5,11,0.454,1.8,5,0.363,3.2,6,0.53,0.537,2,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7,"13.8",".571",".456",".222","6.1","21.3","13.6","7.1","1.0","2.3","8.9","17.6","2.4","3.2","5.6",".111","-0.5","0.1","-0.4","1.0"
"476","476","Jalen Smith","C",23,61,14,17.2,3.8,6.5,0.592,1,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2,9.9,"20.7",".682",".365",".263","12.1","24.3","18.2","8.0","0.8","2.9","9.1","19.4","3.1","0.9","4.0",".182","3.2","-0.8","2.4","1.2"
"477","477","Nick Smith Jr.","SG",19,51,0,14.3,2.2,5.7,0.391,1.2,2.9,0.432,1,2.8,0.35,0.5,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9,"8.1",".511",".505",".052","2.7","8.6","5.5","12.0","0.7","0.9","11.7","20.3","-0.6","0.1","-0.5","-0.036","-3.1","-2.8","-5.9","-0.7"
"478","478","Terquavion Smith","PG",21,16,0,5.3,1.1,2.9,0.391,0.8,2.2,0.371,0.3,0.7,0.455,0.533,0.2,0.3,0.6,0,0.3,0.3,0.8,0.5,0,0.4,0.5,3.3,"14.8",".539",".761",".109","0.0","5.4","2.6","22.1","4.7","0.0","12.7","28.4","0.0","0.1","0.1",".050","0.3","0.5","0.8","0.1"
"479","479","Jeremy Sochan","PF",20,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,"11.4",".513",".293",".186","6.7","16.9","11.7","16.0","1.3","1.5","14.3","18.8","-0.5","1.9","1.4",".030","-2.8","-0.6","-3.4","-0.8"
"480","480","Pat Spencer","PG",27,6,0,4.3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,NA,0.3,0.3,0.7,0.8,0,0,0.2,0.2,0.7,"9.4",".500",".500",".000","8.4","8.2","8.3","23.3","0.0","0.0","20.0","8.1","0.0","0.0","0.0",".084","-3.4","-3.1","-6.4","0.0"
"481","481","Jaden Springer","SG",21,49,2,10.3,1.2,3,0.399,0.2,1,0.208,1,2,0.49,0.432,0.7,0.9,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,1.3,3.3,"10.7",".490",".324",".284","7.1","9.8","8.4","11.5","3.5","2.7","17.0","17.1","-0.3","0.8","0.6",".052","-4.9","1.5","-3.4","-0.2"
"482","482","Lamar Stevens","PF",26,38,3,14.7,2.8,6.3,0.45,0.4,1.2,0.304,2.5,5.1,0.485,0.479,1.1,1.4,0.778,0.9,2.4,3.3,0.7,0.6,0.6,0.6,1.2,7.2,"14.6",".516",".192",".225","6.9","18.2","12.4","7.9","2.0","3.6","8.3","22.2","0.0","0.8","0.8",".068","-2.2","-0.1","-2.2","0.0"
"483","483","Isaiah Stewart","PF",22,46,45,30.9,4,8.3,0.487,1.5,3.8,0.383,2.6,4.5,0.575,0.575,1.4,1.8,0.753,1.6,5,6.6,1.6,0.4,0.8,1.4,2.2,10.9,"11.3",".600",".458",".223","5.7","18.4","11.9","7.1","0.6","2.3","13.6","14.5","0.9","0.8","1.7",".056","-1.6","-0.7","-2.3","-0.1"
"484","484","Julian Strawther","SF",21,50,0,10.9,1.6,4.4,0.369,0.8,2.8,0.297,0.8,1.7,0.488,0.462,0.4,0.6,0.71,0.1,1.1,1.2,0.9,0.3,0.1,0.5,1.1,4.5,"8.2",".482",".622",".140","1.0","11.1","6.2","11.3","1.5","1.1","8.9","20.7","-0.4","0.6","0.2",".015","-4.6","-1.4","-6.0","-0.6"
"485","485","Max Strus","SF",27,70,70,32,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4,0.9,0.4,1.6,2.4,12.2,"11.7",".553",".658",".133","3.4","13.5","8.5","17.3","1.4","1.2","12.7","17.4","1.2","2.6","3.9",".083","-1.1","0.5","-0.6","0.8"
"486","486","Jalen Suggs","SG",22,75,75,27,4.5,9.5,0.471,2,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,"14.1",".602",".539",".218","2.8","10.6","6.6","15.0","2.6","2.2","14.4","19.7","1.5","3.2","4.7",".112","-0.6","1.6","1.0","1.5"
"487","487","Cole Swider","SF",24,18,0,4.8,0.8,2.1,0.395,0.6,1.7,0.333,0.3,0.4,0.625,0.526,0.1,0.1,1,0.1,0.3,0.4,0.3,0.1,0.1,0.4,0.2,2.3,"7.1",".540",".789",".053","1.3","7.9","4.6","8.8","0.6","1.1","17.1","24.0","-0.2","0.1","-0.1","-0.050","-2.1","-2.4","-4.5","-0.1"
