"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"365","365","Keegan Murray","SF",23,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,0.548,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2,"13.3",".569",".524",".127","4.5","13.9","9.1","6.9","1.5","2.1","5.9","18.1","2.6","2.6","5.2",".096","-0.4","-0.5","-0.9","0.8"
"366","366","Kris Murray","SF",23,62,29,21.7,2.3,5.9,0.396,0.8,3,0.268,1.5,3,0.525,0.463,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1,"9.0",".481",".500",".153","6.7","12.3","9.3","8.4","1.9","1.4","12.3","14.1","-0.4","1.0","0.7",".024","-3.5","-0.2","-3.6","-0.6"
"367","367","Mike Muscala","C",32,53,6,11.3,1.1,2.9,0.359,0.5,1.8,0.292,0.5,1.1,0.467,0.449,0.3,0.5,0.68,0.7,1.6,2.4,0.7,0.2,0.2,0.4,1,3,"7.5",".470",".615",".160","7.0","15.8","11.3","7.6","0.7","1.8","11.6","13.4","-0.2","0.3","0.1",".009","-3.9","-1.4","-5.3","-0.5"
"368","368","Svi Mykhailiuk","SF",26,41,2,10.1,1.4,3.3,0.416,1,2.6,0.389,0.4,0.7,0.517,0.569,0.1,0.2,0.667,0.3,1,1.2,0.9,0.3,0,0.3,0.5,4,"11.7",".575",".788",".066","3.0","10.0","6.7","11.0","1.3","0.2","7.8","16.1","0.5","0.4","0.9",".106","-0.9","-0.9","-1.8","0.0"
"369","369","Larry Nance Jr.","C",31,61,0,19.9,2.3,4,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1,0.77,1.5,3.5,5,1.9,1,0.3,0.8,1.6,5.7,"14.9",".653",".270",".253","8.7","19.3","14.1","12.1","2.5","1.5","15.5","11.3","2.1","1.9","4.1",".160","-0.2","2.2","2.0","1.2"
"370","370","Pete Nance","PF",23,8,0,3.4,0.1,0.8,0.167,0.1,0.1,1,0,0.6,0,0.25,0,0.3,0,0,0.4,0.4,0,0.1,0,0.1,0.3,0.4,"-3.9",".218",".167",".333","0.0","12.3","6.2","0.0","1.8","0.0","12.7","12.9","-0.1","0.0","-0.1","-0.154","-11.9","-3.2","-15.2","-0.1"
"371","371","Andrew Nembhard","PG",24,68,47,25,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,"11.3",".573",".328",".107","2.4","7.0","4.7","20.0","1.8","0.3","15.6","16.0","1.3","0.7","2.0",".057","-1.6","-0.5","-2.2","-0.1"
"372","372","Aaron Nesmith","SF",24,72,47,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,"12.8",".631",".526",".216","3.6","12.0","7.8","6.6","1.5","2.0","8.4","16.0","2.8","1.3","4.1",".098","-0.3","-0.2","-0.5","0.8"
"373","373","Georges Niang","PF",30,82,10,22.3,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4,"9.9",".583",".627",".095","1.4","15.5","8.5","7.5","0.8","0.9","9.9","17.6","0.5","2.0","2.4",".064","-2.5","-0.4","-2.9","-0.4"
"374","374","Daishen Nix","PG",21,15,0,3.3,0.6,1.6,0.375,0.4,1.1,0.353,0.2,0.5,0.429,0.5,0.2,0.4,0.5,0.1,0.1,0.2,0.4,0.3,0,0.3,0.1,1.8,"12.3",".507",".708",".250","2.4","4.3","3.4","17.8","4.9","0.0","15.8","28.0","-0.1","0.1","0.0",".014","-2.8","1.4","-1.4","0.0"
